INSERT INTO ORDEN (idOrden, idCliente,idRestaurante,fecha) VALUES
(1,1,'Pizza Hut','2019-3-19'),
(2,3,'Burger King','2019-8-16'),
(3,2,'Burger King','2019-1-27'),
(4,3,'Taco Bell','2019-8-9'),
(5,3,'Comedor Institucional','2019-1-1'),
(6,2,'KFC','2019-11-7'),
(7,2,'Taco Bell','2019-9-8'),
(8,3,'McDonald','2019-1-14'),
(9,3,'Comida China','2019-5-4'),
(10,2,'Comedor Institucional','2019-5-19'),
(11,3,'Comida China','2019-9-23'),
(12,1,'Subway','2019-11-17'),
(13,3,'Restaurante el Lago','2019-1-10'),
(14,1,'Taco Bell','2019-9-8'),
(15,2,'Pizza Hut','2019-10-12'),
(16,1,'Comedor Institucional','2019-12-17'),
(17,2,'Burger King','2019-8-27'),
(18,3,'Comida China','2019-10-26'),
(19,3,'Subway','2019-3-18'),
(20,3,'McDonald','2019-1-27'),
(21,2,'Taco Bell','2019-8-1'),
(22,1,'Subway','2019-6-10'),
(23,3,'Pizza Hut','2019-11-9'),
(24,1,'Pizza Hut','2019-8-4'),
(25,1,'Pizza Hut','2019-4-9'),
(26,1,'Burger King','2019-1-8'),
(27,3,'Comedor Institucional','2019-3-15'),
(28,3,'Comida China','2019-7-22'),
(29,2,'McDonald','2019-4-2'),
(30,1,'Burger King','2019-5-24'),
(31,1,'Restaurante el Lago','2019-1-19'),
(32,1,'Comida China','2019-1-13'),
(33,2,'Restaurante el Lago','2019-10-22'),
(34,2,'Comedor Institucional','2019-11-13'),
(35,1,'Comida China','2019-10-26'),
(36,2,'Comedor Institucional','2019-7-18'),
(37,2,'Comida China','2019-9-7'),
(38,1,'Restaurante el Lago','2019-2-10'),
(39,1,'Burger King','2019-1-14'),
(40,3,'Burger King','2019-2-20'),
(41,3,'McDonald','2019-9-8'),
(42,2,'Pizza Hut','2019-9-4'),
(43,3,'KFC','2019-5-1'),
(44,1,'Taco Bell','2019-2-27'),
(45,2,'Subway','2019-3-4'),
(46,3,'Pizza Hut','2019-7-13'),
(47,3,'Comida China','2019-2-7'),
(48,2,'Restaurante el Lago','2019-1-26'),
(49,1,'Comida China','2019-7-3'),
(50,3,'Cuchara de Aurora','2019-9-28'),
(51,1,'Taco Bell','2019-4-10'),
(52,2,'McDonald','2019-2-25'),
(53,1,'Comida China','2019-1-11'),
(54,3,'Restaurante el Lago','2019-9-20'),
